livro;referencia;tema;categoria;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;correta;comentario
Atos;At 2:41;Igreja;Crescimento;Média;Cerca de quantas pessoas foram batizadas após a pregação de Pedro?;500;3;12;120;B;Quase três mil pessoas aceitaram a mensagem.
Atos;At 3:6;Milagres;Cura;Fácil;O que Pedro disse ao paralítico antes da cura?;Levanta-te e anda;Não tenho prata nem ouro;Tenha fé;Vai em paz;B;Pedro destacou que oferecia o poder de Jesus.
Atos;At 7:59;Igreja;Perseguição;Difícil;Quem foi considerado o primeiro mártir cristão?;Tiago;Estevão;Barnabé;Silas;B;Estevão morreu apedrejado por sua fé.
Atos;At 9:15;Chamado;Paulo;Média;Como Deus descreveu Paulo para Ananias?;Rei;Instrumento escolhido;Sacerdote;Profeta;B;Paulo foi escolhido para levar o evangelho aos gentios.
Atos;At 16:25;Louvor;Prisão;Fácil;O que Paulo e Silas faziam na prisão à meia-noite?;Dormiam;Oravam e cantavam;Planejavam fugir;Escreviam cartas;B;Eles louvaram a Deus mesmo presos.
Romanos;Rm 3:23;Salvação;Pecado;Fácil;Quem pecou, segundo Romanos 3:23?;Somente Israel;Todos;Somente os gentios;Ninguém;B;Todos pecaram e carecem da glória de Deus.
1 Coríntios;1Co 13:13;Amor;Virtudes;Média;Qual é a maior entre fé, esperança e amor?;Fé;Amor;Esperança;Alegria;B;O amor é a maior das virtudes.
Gálatas;Gl 5:22;Espírito Santo;Fruto;Média;O que o Espírito produz na vida do cristão?;Riquezas;Fruto do Espírito;Poder político;Fama;B;Paulo descreve o fruto do Espírito em Gálatas 5.
Efésios;Ef 6:11;Vida Cristã;Armadura;Média;O cristão deve vestir qual armadura?;De Saul;De Deus;De Davi;De bronze;B;A armadura de Deus ajuda na batalha espiritual.
Apocalipse;Ap 22:13;Jesus;Eternidade;Difícil;Como Jesus se apresenta em Apocalipse 22:13?;Rei dos judeus;Alfa e Ômega;Leão de Judá;Filho de Davi;B;Jesus declara ser o princípio e o fim.
Mateus;Mt 13:31-32;Parábolas;Reino de Deus;Média;A que Jesus comparou o Reino dos Céus nessa parábola?;Rede;Grão de mostarda;Tesouro;Pérola;B;O Reino cresce de forma surpreendente, como um grão de mostarda.
Mateus;Mt 13:33;Parábolas;Reino de Deus;Média;Na parábola do fermento, o fermento representa o quê?;O pecado;A ação do Reino de Deus;A riqueza;A Lei;B;Jesus compara o Reino à ação do fermento que transforma toda a massa.
Mateus;Mt 18:12;Parábolas;Amor de Deus;Fácil;Quantas ovelhas o pastor deixou para buscar a perdida?;99;50;70;12;A;O pastor deixou as 99 para buscar a que se perdeu.
Mateus;Mt 22:37;Amor;Mandamentos;Fácil;Qual é o maior mandamento, segundo Jesus?;Guardar o sábado;Amar a Deus;Jejuar;Dar ofertas;B;Jesus ensinou que amar a Deus é o maior mandamento.
Marcos;Mc 10:45;Jesus;Serviço;Média;Para que o Filho do Homem veio ao mundo?;Ser servido;Servir e dar a vida;Governar Roma;Julgar Israel;B;Jesus veio servir e entregar sua vida em resgate por muitos.
Lucas;Lc 2:52;Jesus;Infância;Média;Em que Jesus crescia durante sua infância?;Somente em estatura;Sabedoria, estatura e graça;Riquezas;Popularidade;B;Jesus crescia integralmente diante de Deus e dos homens.
Lucas;Lc 5:5-6;Milagres;Pesca;Média;Após obedecer Jesus, o que aconteceu com a pesca de Pedro?;Nada foi pescado;As redes quase se romperam;Pegou um peixe;O barco afundou;B;A pesca maravilhosa mostrou o poder de Jesus.
Lucas;Lc 17:17;Milagres;Gratidão;Média;Quantos leprosos voltaram para agradecer a Jesus?;Um;Cinco;Dez;Dois;A;Somente um voltou para agradecer.
João;Jo 2:9;Milagres;Provisão;Fácil;Em qual festa Jesus transformou água em vinho?;Páscoa;Casamento em Caná;Pentecostes;Tabernáculos;B;Esse foi o primeiro milagre registrado de Jesus.
João;Jo 8:32;Ensinos;Verdade;Fácil;O que a verdade faz, segundo Jesus?;Enriquece;Liberta;Protege;Ensina;B;A verdade liberta aqueles que a conhecem.
João;Jo 13:14;Serviço;Humildade;Média;O que Jesus fez aos pés dos discípulos?;Ungiu;Lavou;Beijou;Calçou;B;Jesus deu exemplo de humildade e serviço.
Atos;At 8:36;Evangelismo;Batismo;Média;Quem foi batizado por Filipe na estrada?;Cornélio;Eunuco etíope;Lídia;Carcereiro;B;O eunuco creu em Jesus e foi batizado.
Atos;At 10:34;Evangelismo;Gentios;Difícil;O que Pedro compreendeu na casa de Cornélio?;Só judeus seriam salvos;Deus não faz acepção de pessoas;A Lei bastava;Roma venceria;B;O evangelho é oferecido a todos.
Atos;At 17:11;Vida Cristã;Estudo Bíblico;Média;Por que os bereanos foram elogiados?;Jejuavam sempre;Examinavam as Escrituras;Falavam em línguas;Construíram igrejas;B;Eles conferiam diariamente o ensino nas Escrituras.
Romanos;Rm 5:8;Amor;Graça;Fácil;Quando Cristo morreu por nós?;Depois de sermos perfeitos;Quando ainda éramos pecadores;Após o batismo;Depois da ressurreição;B;Deus demonstrou Seu amor enviando Cristo por pecadores.
1 Coríntios;1Co 15:3-4;Ressurreição;Evangelho;Média;Segundo Paulo, o que aconteceu ao terceiro dia?;Pentecostes;Jesus ressuscitou;O templo caiu;Pedro pregou;B;A ressurreição é central no evangelho.
Filipenses;Fp 4:13;Fé;Confiança;Fácil;Em quem Paulo disse que tudo podia?;Em si mesmo;Naquele que o fortalece;Na igreja;Na lei;B;A força do cristão vem de Cristo.
Hebreus;Hb 11:1;Fé;Definição;Média;Como Hebreus define a fé?;Sentimento;Certeza e convicção;Esperança;Coragem;B;A fé é a certeza do que se espera.
Tiago;Tg 1:22;Vida Cristã;Obediência;Média;O cristão deve ser apenas ouvinte da Palavra?;Sim;Não;Somente aos domingos;Depende;B;Tiago ensina a praticar a Palavra, não apenas ouvi-la.
1 João;1Jo 4:8;Amor;Natureza de Deus;Fácil;Quem ama conhece a Deus porque Deus é...;Justiça;Amor;Luz;Poder;B;O amor faz parte da natureza de Deus.
Mateus;Mt 13:44;Parábolas;Reino de Deus;Média;A que Jesus comparou o Reino dos Céus escondido em um campo?;Rede;Tesouro;Semente;Casa;B;O Reino é tão valioso que vale abrir mão de tudo para alcançá-lo.
Mateus;Mt 13:45-46;Parábolas;Reino de Deus;Média;O negociante vendeu tudo para comprar o quê?;Um campo;Uma pérola preciosa;Uma vinha;Uma casa;B;A pérola representa o valor do Reino de Deus.
Mateus;Mt 25:40;Amor;Serviço;Média;A quem servimos quando ajudamos os necessitados?;À igreja;Ao próprio Cristo;Aos anjos;Ao pastor;B;Jesus ensinou que servir ao próximo é servir a Ele.
Marcos;Mc 4:39;Milagres;Natureza;Fácil;Que ordem Jesus deu ao vento durante a tempestade?;Pare;Acalme-se;Silêncio! Acalme-se!;Retire-se;C;Jesus demonstrou autoridade sobre a natureza.
Marcos;Mc 5:9;Milagres;Libertação;Difícil;Qual era o nome dito pelos espíritos no endemoninhado gadareno?;Belzebu;Legião;Abadom;Lúcifer;B;Os demônios responderam: 'Meu nome é Legião'.
Lucas;Lc 7:47;Perdão;Graça;Média;Quem muito é perdoado faz o quê?;Julga mais;Ama mais;Fala mais;Serve menos;B;Jesus relacionou o perdão recebido ao amor demonstrado.
Lucas;Lc 8:15;Parábolas;Semeador;Média;Na parábola do semeador, qual solo representa quem persevera?;À beira do caminho;Boa terra;Pedregoso;Entre espinhos;B;A boa terra produz fruto com perseverança.
Lucas;Lc 19:5;Jesus;Chamado;Fácil;Quem Jesus chamou para descer da árvore?;Bartimeu;Zaqueu;Nicodemos;Jairo;B;Jesus hospedou-se na casa de Zaqueu.
João;Jo 5:8;Milagres;Cura;Fácil;O que Jesus mandou o paralítico fazer?;Correr;Levantar, pegar a cama e andar;Entrar no tanque;Orar;B;O homem foi curado imediatamente.
João;Jo 6:68;Fé;Confissão;Média;Quem disse: 'Tu tens as palavras de vida eterna'?;Tomé;Pedro;João;André;B;Pedro reconheceu que somente Jesus tinha palavras de vida eterna.
Atos;At 5:3;Igreja;Santidade;Difícil;Quem mentiu sobre o valor da oferta entregue?;Barnabé;Ananias;Timóteo;Apolo;B;Ananias e Safira mentiram ao Espírito Santo.
Atos;At 9:36;Igreja;Serviço;Média;Qual discípula era conhecida pelas boas obras e esmolas?;Lídia;Dorcas;Priscila;Marta;B;Dorcas foi ressuscitada por Pedro.
Atos;At 12:7;Milagres;Livramento;Média;Quem foi libertado da prisão por um anjo?;Paulo;Pedro;Silas;Barnabé;B;O anjo soltou as correntes de Pedro.
Romanos;Rm 12:2;Vida Cristã;Transformação;Média;O cristão deve ser transformado por meio da renovação de quê?;Corpo;Mente;Força;Vontade;B;Paulo ensina a renovação da mente.
1 Coríntios;1Co 10:13;Fé;Tentação;Média;O que Deus sempre oferece junto com a tentação?;Castigo;Escape;Silêncio;Prosperidade;B;Deus providencia um meio de suportar a tentação.
2 Coríntios;2Co 5:17;Salvação;Nova Vida;Fácil;Quem está em Cristo é uma...;Nova criatura;Pessoa perfeita;Autoridade;Testemunha;A;Em Cristo, tudo se faz novo.
Efésios;Ef 2:8;Salvação;Graça;Média;A salvação é recebida por meio de quê?;Obras;Fé;Sacrifícios;Tradições;B;Somos salvos pela graça, mediante a fé.
1 Tessalonicenses;1Ts 5:17;Oração;Vida Cristã;Fácil;Como Paulo orienta os cristãos a orar?;Somente no templo;Sem cessar;Três vezes ao dia;Antes das refeições;B;A oração deve fazer parte da vida diária.
Apocalipse;Ap 3:20;Jesus;Convite;Média;Onde Jesus diz estar enquanto chama?;No templo;À porta;No deserto;No monte;B;Jesus convida cada pessoa a abrir a porta do coração.
Apocalipse;Ap 21:4;Esperança;Nova Criação;Fácil;O que Deus enxugará dos olhos do seu povo?;Suor;Toda lágrima;Sangue;Água;B;Na nova criação não haverá mais morte nem sofrimento.
Gênesis;Gn 45:5;Perdão;Reconciliação;Média;O que José disse que Deus fez ao enviá-lo ao Egito?;Trouxe castigo;Preservou vidas;Enriqueceu Jacó;Cumpriu um voto;B;José reconheceu que Deus transformou o mal em salvação para muitos.
Êxodo;Êx 15:26;Cura;Promessa;Média;Como Deus se apresentou ao povo após o Êxodo?;Deus da guerra;Senhor que te sara;Rei eterno;Deus do Sinai;B;Deus prometeu ser o Senhor que cura seu povo.
Josué;Js 24:15;Família;Decisão;Fácil;Quem declarou: 'Eu e minha casa serviremos ao Senhor'?;Moisés;Josué;Calebe;Samuel;B;Josué incentivou Israel a decidir servir ao Senhor.
Juízes;Jz 7:7;Fé;Vitória;Média;Com quantos homens Gideão derrotou os midianitas?;300;500;1000;120;A;Deus mostrou que a vitória vinha dEle, não do tamanho do exército.
1 Samuel;1Sm 17:45;Fé;Confiança;Média;Em nome de quem Davi enfrentou Golias?;De Saul;Do Senhor dos Exércitos;De Israel;De Samuel;B;Davi confiou no poder de Deus, não nas armas.
2 Samuel;2Sm 6:14;Louvor;Adoração;Fácil;O que Davi fazia enquanto a arca era levada a Jerusalém?;Orava em silêncio;Dançava diante do Senhor;Tocava trombeta;Jejuava;B;Davi celebrou com alegria a presença de Deus.
1 Reis;1Rs 18:21;Fé;Escolha;Média;O que Elias pediu ao povo no monte Carmelo?;Construir um altar;Decidir entre Deus e Baal;Jejuar sete dias;Ir a Jerusalém;B;Elias chamou o povo a escolher quem realmente serviria.
2 Reis;2Rs 4:6;Milagres;Provisão;Média;O que aconteceu com o azeite da viúva?;Secou rapidamente;Multiplicou-se;Virou vinho;Pegou fogo;B;Deus multiplicou o azeite enquanto havia vasos.
